url,title,published,last_updated,approx_chars,primary_intent,duplicate_topic_flag,recommended_action,final_action
"/blog/university-chemistry-langara-college-chemistry-chem-1114-1118-1120","Langara College Chemistry (CHEM 1114/1118/1120) in University","2026-05-20","2026-07-29","9777","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/pre-calculus-trigonometric-identities-equations","Trigonometric Identities & Equations in Pre-Calculus","2026-05-20","2026-07-29","8591","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/pre-calculus-exponential-logarithmic-functions","Exponential & Logarithmic Functions in Pre-Calculus","2026-05-20","2026-07-29","8761","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/common-pre-calculus-12-mistakes-burnaby","10 Common Pre-Calculus 12 Mistakes Burnaby Students Make","2026-07-15","2026-07-29","8886","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/how-to-prepare-for-physics-12-british-columbia","How to Prepare for Physics 12 in British Columbia","2026-07-15","2026-07-29","9606","informational","template-family","Keep (verify)","Audited 2026-07 — kept"
"/blog/step-by-step-guide-stoichiometry-grade-11-chemistry","A Step-by-Step Guide to Stoichiometry for Grade 11 Chemistry","2026-07-15","2026-07-29","9293","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/what-ubc-calculus-students-should-review-before-first-midterm","What UBC Calculus Students Should Review Before Their First Midterm","2026-07-15","2026-07-29","9118","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/concept-gap-or-practice-gap-parents-guide","How Parents Can Tell Whether a Student Has a Concept Gap or a Practice Gap","2026-07-15","2026-07-29","8963","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/how-much-does-math-tutoring-cost-burnaby","How Much Does Math Tutoring Cost in Burnaby?","2026-07-15","2026-07-29","9744","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/biology-cell-biology","Cell Biology in Biology Tutoring","2026-07-16","2026-07-29","9752","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/biology-ecology-biotechnology","Ecology & Biotechnology in Biology Tutoring","2026-07-16","2026-07-29","9427","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/biology-genetics-evolution","Genetics & Evolution in Biology Tutoring","2026-07-16","2026-07-29","9183","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/biology-human-physiology","Human Physiology in Biology Tutoring","2026-07-16","2026-07-29","9472","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/biology-molecular-biology","Molecular Biology in Biology Tutoring","2026-07-16","2026-07-29","9349","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/burnaby-stem-tutoring-computer-science-programming","Computer Science & Programming in Burnaby STEM Tutoring","2026-07-16","2026-07-16","10013","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/burnaby-stem-tutoring-statistics-data-analysis","Statistics & Data Analysis in Burnaby STEM Tutoring","2026-07-16","2026-07-16","10084","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/chemistry-chemical-reactions-bonding","Chemical Reactions & Bonding in Chemistry Tutoring","2026-07-16","2026-07-16","9634","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/chemistry-organic-chemistry","Organic Chemistry in Chemistry Tutoring","2026-07-16","2026-07-16","10346","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/chemistry-physical-chemistry","Physical Chemistry in Chemistry Tutoring","2026-07-16","2026-07-16","10189","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/computer-science-computational-thinking","Computational Thinking in Computer Science Tutoring","2026-07-16","2026-07-16","10201","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/computer-science-data-structures-algorithms","Data Structures & Algorithms in Computer Science Tutoring","2026-07-16","2026-07-16","9504","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/computer-science-logic-building","Logic Building in Computer Science Tutoring","2026-07-16","2026-07-16","9159","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/computer-science-programming-basics","Programming Basics in Computer Science Tutoring","2026-07-16","2026-07-16","9698","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/finance-business-concepts","Business Concepts in Finance Tutoring","2026-07-16","2026-07-29","9208","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/finance-financial-basics","Financial Basics in Finance Tutoring","2026-07-16","2026-07-29","8949","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/finance-practical-application-of-finance","Practical Application of Finance in Finance Tutoring","2026-07-16","2026-07-29","9056","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/french-conversational-french-pronunciation","Conversational French & Pronunciation in French Language Lessons","2026-07-16","2026-07-16","9593","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/french-grammar-vocabulary-sentence-formation","Grammar, Vocabulary & Sentence Formation in French Language","2026-07-16","2026-07-16","9452","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/french-reading-writing-listening-practice","Reading, Writing & Listening Practice in French Language Lessons","2026-07-16","2026-07-16","9888","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/gmat-prep-data-insights","Data Insights in GMAT/GRE Focus Prep","2026-07-16","2026-07-29","9651","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/gmat-prep-ir-mini-mocks-strategies","IR Mini-Mocks & Strategies in GMAT/GRE Focus Prep","2026-07-16","2026-07-16","9409","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/gmat-prep-verbal-quantitative-focus","Verbal & Quantitative Focus in GMAT/GRE Focus Prep","2026-07-16","2026-07-29","9444","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/gre-prep-analytical-writing-assessment-awa-essays","Analytical Writing Assessment (AWA) Essays in GRE Prep","2026-07-16","2026-07-16","10077","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/gre-prep-quantitative-reasoning-shortcuts","Quantitative Reasoning Shortcuts in GRE Prep","2026-07-16","2026-07-29","9642","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/gre-prep-verbal-vocabulary-systems","Verbal Vocabulary Systems in GRE Prep","2026-07-16","2026-07-16","9594","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/ib-ap-tutoring-ap-calculus-ab-bc","AP Calculus AB & BC in IB & AP Tutoring","2026-07-16","2026-07-29","9195","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/ib-ap-tutoring-ap-chemistry-biology","AP Chemistry & Biology in IB & AP Tutoring","2026-07-16","2026-07-16","10494","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/ib-ap-tutoring-ap-physics-1-2-c","AP Physics 1, 2 & C in IB & AP Tutoring","2026-07-16","2026-07-29","9735","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/ib-ap-tutoring-ap-statistics","AP Statistics in IB & AP Tutoring","2026-07-16","2026-07-29","9967","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/ib-ap-tutoring-ib-mathematics-analysis-approaches-sl-hl","IB Mathematics: Analysis & Approaches (SL & HL) in IB & AP","2026-07-16","2026-07-29","9292","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/ib-ap-tutoring-ib-mathematics-applications-interpretation","IB Mathematics: Applications & Interpretation in IB & AP Tutoring","2026-07-16","2026-07-16","11040","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/ib-ap-tutoring-ib-physics-chemistry-biology-sl-hl","IB Physics, Chemistry & Biology (SL & HL) in IB & AP Tutoring","2026-07-16","2026-07-18","11396","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/javascript-dom-manipulation","DOM Manipulation in JavaScript Programming","2026-07-16","2026-07-16","9171","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/javascript-functions-and-events","Functions and Events in JavaScript Programming","2026-07-16","2026-07-16","9122","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/javascript-loops-and-conditionals","Loops and Conditionals in JavaScript Programming","2026-07-16","2026-07-16","8826","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/javascript-variables-and-data-types","Variables and Data Types in JavaScript Programming","2026-07-16","2026-07-16","9064","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/mandarin-conversational-mandarin-pronunciation","Conversational Mandarin & Pronunciation in Mandarin Language","2026-07-16","2026-07-18","9381","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/mandarin-grammar-listening-cultural-understanding","Grammar, Listening & Cultural Understanding in Mandarin Language","2026-07-16","2026-07-16","9998","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/mandarin-reading-writing-vocabulary-building","Reading, Writing & Vocabulary Building in Mandarin Language","2026-07-16","2026-07-16","9946","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/mathematics-algebra-functions","Algebra & Functions in Mathematics Tutoring","2026-07-16","2026-07-29","9862","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/mathematics-trigonometry-coordinate-geometry","Trigonometry & Coordinate Geometry in Mathematics Tutoring","2026-07-16","2026-07-29","9968","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/mcat-prep-biology-biochemistry","Biology & Biochemistry in MCAT Prep","2026-07-16","2026-07-16","9833","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/mcat-prep-cars-drills","CARS Drills in MCAT Prep","2026-07-16","2026-07-16","10100","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/mcat-prep-chemistry-physics","Chemistry & Physics in MCAT Prep","2026-07-16","2026-07-29","8895","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/mcat-prep-psychology-sociology","Psychology & Sociology in MCAT Prep","2026-07-16","2026-07-16","10149","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/physics-physics-the-underlying-math","Physics & the Underlying Math in Physics Tutoring","2026-07-16","2026-07-29","9894","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/pre-calculus-polynomial-rational-functions","Polynomial & Rational Functions in Pre-Calculus","2026-07-16","2026-07-29","9802","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/python-basic-syntax-and-structure","Basic Syntax and Structure in Python Programming","2026-07-16","2026-07-16","9745","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/python-functions-logic-building","Functions & Logic Building in Python Programming","2026-07-16","2026-07-16","10046","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/python-loops-and-conditionals","Loops and Conditionals in Python Programming","2026-07-16","2026-07-16","9137","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/python-variables-and-data-types","Variables and Data Types in Python Programming","2026-07-16","2026-07-16","9507","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/sat-prep-evidence-based-reading-writing","Evidence-Based Reading & Writing in SAT/PSAT Prep","2026-07-16","2026-07-16","9578","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/sat-prep-sat-mathematics","SAT Mathematics in SAT/PSAT Prep","2026-07-16","2026-07-29","8559","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/sat-prep-test-taking-hacks-strategies","Test-Taking Hacks & Strategies in SAT/PSAT Prep","2026-07-16","2026-07-16","9697","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-biology-anatomy-and-physiology","Anatomy and Physiology in University Biology","2026-07-16","2026-07-16","10045","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-biology-general-biology","General Biology in University Biology","2026-07-16","2026-07-18","10054","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-biology-molecular-biology","Molecular Biology in University Biology","2026-07-16","2026-07-18","10292","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-chemistry-chemical-kinetics-equilibrium","Chemical Kinetics & Equilibrium in University Chemistry","2026-07-16","2026-07-29","9890","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-finance-bcom-mba-finance","BCom & MBA Finance in University Finance","2026-07-16","2026-07-29","9327","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-finance-cfa-csc-ifc-certifications","CFA, CSC, IFC Certifications in University Finance","2026-07-16","2026-07-29","11114","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-finance-msc-phd-finance-studies","MSc & PhD Finance Studies in University Finance","2026-07-16","2026-07-29","10752","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-physics-electromagnetism-thermodynamics","Electromagnetism & Thermodynamics in University Physics","2026-07-16","2026-07-29","9786","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/vancouver-math-tutoring-calculus-linear-algebra","Calculus & Linear Algebra in Vancouver Math Tutoring","2026-07-16","2026-07-16","9675","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/vancouver-math-tutoring-elementary-middle-school-math","Elementary & Middle School Math in Vancouver Math Tutoring","2026-07-16","2026-07-29","9699","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/vancouver-math-tutoring-high-school-math-grades-8-12","High School Math (Grades 8–12): The Ultimate Mathematics","2026-07-16","2026-07-29","9475","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/web-development-api-development-integration","API Development & Integration in Web Development","2026-07-16","2026-07-18","9067","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/web-development-backend-development-node-js-express","Backend Development (Node.js, Express) in Web Development","2026-07-16","2026-07-18","10016","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/web-development-database-management-mongodb-firebase","Database Management (MongoDB, Firebase) in Web Development","2026-07-16","2026-07-16","10408","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/web-development-frontend-development-html-css-react","Frontend Development (HTML, CSS, React) in Web Development","2026-07-16","2026-07-18","9136","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/engineering-statics-first-year-engineering-students","What Is Engineering Statics and Why It Trips Up First-Year Engineering Students","2026-07-23","2026-07-23","6037","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-physics-tutoring-in-vancouver-and-burnaby","University Physics Tutoring in Vancouver & Burnaby: The Complete Student Guide ","2026-07-26","2026-07-29","9820","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-biology-tutor-vancouver","University Biology Tutoring in Vancouver: UBC & SFU Course Help","2026-07-26","2026-07-26","7600","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/tutoring-burnaby-metro-vancouver-guide","Tutoring Burnaby: A Metro Vancouver Guide","2026-07-27","2026-07-27","11334","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
