Query,Clicks,Impressions,CTR,Avg position,Search intent,Recommended landing page,Ranking opportunity,Recommended action,Priority
biology 11 tutor burnaby,0,23,0%,2.65,Grade / course-specific,/biology-11-tutor-burnaby,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
ap physics tutor burnaby,0,23,0%,7.04,Grade / course-specific,/programs/physics (city → burnaby),"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
grade 11 math tutor burnaby,0,23,0%,9.13,Grade / course-specific,/grade-11-math-tutor-burnaby,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
ap computer science tutor vancouver,0,22,0%,7.64,Grade / course-specific,/computer-science-tutor-vancouver,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
best tutor in burnaby,0,22,0%,13.91,Broad tutoring,/math-tutor-burnaby (city hub),Page-2 (build authority),Add depth + internal links to lift to page 1,P2
foundations of math 11 tutor burnaby,0,21,0%,4.62,Grade / course-specific,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby","STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
biology tutor vancouver,0,21,0%,7.62,Subject tutoring,/programs/biology,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
computer science tutor vancouver,0,21,0%,8.62,Subject tutoring,/computer-science-tutor-vancouver,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
pre calculus math tutor,0,21,0%,16.76,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P2
8th grade math tutors,0,21,0%,37.33,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P2
chemistry 11 tutor burnaby,0,20,0%,7.8,Grade / course-specific,/chemistry-11-tutor-burnaby,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
math tutors near me,0,19,0%,1,Subject tutoring,/programs/mathematics,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
best math tutor vancouver,0,19,0%,2.63,Subject tutoring,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
tutoring programs burnaby,0,19,0%,2.63,Broad tutoring,/math-tutor-burnaby (city hub),Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
python tutor burnaby,0,19,0%,3.95,Subject tutoring,/coding-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
c programming tutor vancouver,0,19,0%,6.63,Subject tutoring,/computer-science-tutor-vancouver,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
chemistry 12 tutor burnaby,0,19,0%,7.47,Grade / course-specific,/chemistry-12-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
best chemistry tutor burnaby,0,19,0%,10.53,Subject tutoring,/programs/chemistry (+ city intent → burnaby),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
biology 12 tutor burnaby,0,18,0%,2.61,Grade / course-specific,/biology-12-tutor-burnaby,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
private tutor burnaby,0,18,0%,3.83,Broad tutoring,/math-tutor-burnaby (city hub),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
experienced math tutor burnaby,0,18,0%,5,Subject tutoring,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby",Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
physics 11 tutor burnaby,0,18,0%,6.17,Grade / course-specific,/physics-11-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
ap calculus tutor burnaby,0,18,0%,11.5,Grade / course-specific,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby",Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ap biology tutor vancouver,0,18,0%,13.78,Grade / course-specific,/programs/biology,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
biology tutors near me,0,18,0%,16.56,Subject tutoring,/programs/biology,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
computer science tutoring,0,18,0%,21.22,Subject tutoring,/programs/computer-science,Low (long-term),Monitor; low priority,P4
grade 12 math tutor burnaby,0,17,0%,4.76,Grade / course-specific,/grade-12-math-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
python tutor vancouver,0,17,0%,4.94,Subject tutoring,/computer-science-tutor-vancouver,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
genetics tutor,0,17,0%,5.76,Subject tutoring,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
grade 9 math tutor burnaby,0,17,0%,8,Grade / course-specific,/grade-9-math-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
investment management tutor,0,17,0%,8.35,University / professional,/programs/university-finance,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
academic tutoring burnaby,0,17,0%,11.94,Broad tutoring,/math-tutor-burnaby (city hub),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
physics tutoring vancouver,0,17,0%,22.12,Subject tutoring,/programs/physics (city → vancouver),Low (long-term),Monitor; low priority,P4
experienced physics tutor burnaby,0,16,0%,3.75,Subject tutoring,/programs/physics (city → burnaby),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
pre calculus 11 tutor burnaby,0,16,0%,3.94,Grade / course-specific,/pre-calculus-11-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
foundations of math 12 tutor burnaby,0,16,0%,4.88,Grade / course-specific,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby",Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
best sat prep,0,16,0%,11.5,Other,/programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
summer tutoring,0,16,0%,51.75,Broad tutoring,/ (homepage) or /programs,Low (long-term),Monitor; low priority,P4
biology tutor burnaby,0,15,0%,2.4,Subject tutoring,/programs/biology,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
best biology tutor burnaby,0,15,0%,3.4,Subject tutoring,/programs/biology,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
grade 10 math tutor burnaby,0,15,0%,3.53,Grade / course-specific,/grade-10-math-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
high school tutoring burnaby,0,15,0%,4.4,Broad tutoring,/math-tutor-burnaby (city hub),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
ib math tutor vancouver,0,15,0%,15.33,Grade / course-specific,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
actuary tutor,0,15,0%,44.07,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Low (long-term),Monitor; low priority,P4
tutoring near me,0,14,0%,1.14,Broad tutoring,/ (homepage) or /programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
javascript tutor vancouver,0,14,0%,5.36,Subject tutoring,/computer-science-tutor-vancouver,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
bcom finance tutor vancouver,0,14,0%,6.86,University / professional,/programs/university-finance,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
engineering physics tutor,0,14,0%,10.36,Subject tutoring,/programs/physics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
one-on-one tutoring burnaby,0,14,0%,11.71,Broad tutoring,/math-tutor-burnaby (city hub),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
high school computer science tutor,0,14,0%,13.14,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
organic chemistry tutor vancouver,0,14,0%,16.07,Subject tutoring,/programs/chemistry (+ city intent → vancouver),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
online actuary tutor,0,14,0%,24,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Low (long-term),Monitor; low priority,P4
tutors in burnaby,0,14,0%,38,Broad tutoring,/math-tutor-burnaby (city hub),Low (long-term),Monitor; low priority,P4
actuary tutoring,0,14,0%,38.07,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Low (long-term),Monitor; low priority,P4
burnaby tutors,0,14,0%,46.29,Broad tutoring,/math-tutor-burnaby (city hub),Low (long-term),Monitor; low priority,P4
high school tutor burnaby,1,13,7.69%,15.15,Broad tutoring,/math-tutor-burnaby (city hub),Converting (defend),Keep; protect ranking,P1
high school tutors near me,0,13,0%,1,Broad tutoring,/ (homepage) or /programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
physics 12 tutor burnaby,0,13,0%,4.38,Grade / course-specific,/physics-12-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
medical sciences tutor caribbean,0,13,0%,8.23,Subject tutoring,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
private web development tutor vancouver,0,13,0%,8.54,Subject tutoring,/computer-science-tutor-vancouver,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
corporate finance tutor,0,13,0%,10.46,University / professional,/programs/university-finance,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
grade 10 math tutor vancouver,0,13,0%,12.15,Grade / course-specific,/grade-10-math-tutor-vancouver,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
university chemistry tutor vancouver,0,13,0%,13.54,University / professional,/programs/university-chemistry,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
chemistry tutor langara,0,13,0%,13.92,University / professional,/programs/university-chemistry,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ap physics tutor vancouver,0,13,0%,15.62,Grade / course-specific,/programs/physics (city → vancouver),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
biology tutoring,0,13,0%,16.23,Subject tutoring,/programs/biology,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
elementary tutor near me,0,12,0%,1,Broad tutoring,/ (homepage) or /programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
tutoring programs vancouver,0,12,0%,5.33,Broad tutoring,/math-tutor-vancouver (city hub),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
medical sciences tutor canada,0,12,0%,8.58,Subject tutoring,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
mba finance tutor vancouver,0,12,0%,10.08,University / professional,/programs/university-finance,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
linear algebra tutor near me,0,12,0%,10.42,Subject tutoring,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
math help,0,12,0%,11.42,Subject tutoring,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
tutoring in burnaby,0,12,0%,12.17,Broad tutoring,/math-tutor-burnaby (city hub),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
grade 10 math tutor near me,0,12,0%,12.75,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
physics tutor vancouver,0,12,0%,20.08,Subject tutoring,/programs/physics (city → vancouver),Low (long-term),Monitor; low priority,P4
finance tutor vancouver,0,11,0%,7.91,Broad tutoring,/math-tutor-vancouver (city hub),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
computer programming tutor,0,11,0%,11.64,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
corporate finance tutor vancouver,0,11,0%,11.82,University / professional,/programs/university-finance,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
econometrics tutoring online,0,11,0%,41.45,University / professional,/online-economics-tutor,Low (long-term),Monitor; low priority,P4
online econometrics tutoring,0,11,0%,46.18,University / professional,/online-economics-tutor,Low (long-term),Monitor; low priority,P4
shreyank,0,10,0%,8.2,Branded,/ (homepage) + /about,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
physics 12 tutor vancouver,0,10,0%,11.6,Grade / course-specific,/physics-12-tutor-vancouver,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ubc math 105 tutor,0,10,0%,15.3,University / professional,/programs/university-mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
python tutor near me,0,10,0%,20.4,Subject tutoring,/programs/computer-science,Low (long-term),Monitor; low priority,P4
6th grade math tutors,0,10,0%,36.6,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
academic support burnaby,0,10,0%,64.9,Other,/programs,Low (long-term),Monitor; low priority,P4
burnaby private tutoring,0,9,0%,2.56,Broad tutoring,/math-tutor-burnaby (city hub),Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
coding tutor for teens burnaby,0,9,0%,5.78,Subject tutoring,/coding-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
financial management tutor vancouver,0,9,0%,8,University / professional,/university-professional,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
sat tutor vancouver,0,9,0%,9.78,Broad tutoring,/math-tutor-vancouver (city hub),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
gmat tutor vancouver,0,9,0%,14,University / professional,/programs/gmat-prep,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
python tutoring,0,9,0%,18.44,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
biology tutors,0,9,0%,18.89,Subject tutoring,/programs/biology,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ap chemistry tutor vancouver,0,9,0%,19,Grade / course-specific,/programs/chemistry (+ city intent → vancouver),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ubc math tutor,0,9,0%,20.56,University / professional,/programs/university-mathematics,Low (long-term),Monitor; low priority,P4
tutor doctor burnaby,0,9,0%,21.67,Broad tutoring,/math-tutor-burnaby (city hub),Low (long-term),Monitor; low priority,P4
math tutor vancouver,0,9,0%,33.89,Subject tutoring,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Low (long-term),Monitor; low priority,P4
statistics tutor vancouver,0,9,0%,35.67,Subject tutoring,/programs,Low (long-term),Monitor; low priority,P4
private actuary tutors,0,9,0%,37,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Low (long-term),Monitor; low priority,P4
online microeconomics tutor,0,9,0%,47.89,University / professional,/online-economics-tutor,Low (long-term),Monitor; low priority,P4
dr. shreyank educare,0,8,0%,1,Branded,/ (homepage) + /about,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
computer science tutors near me,0,8,0%,12.12,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
university math tutor vancouver,0,8,0%,13.88,University / professional,/programs/university-mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ib physics tutor vancouver,0,8,0%,14.38,Grade / course-specific,/programs/physics (city → vancouver),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
finance tutors,0,8,0%,19.62,Broad tutoring,/ (homepage) or /programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
r programming online tutor,0,8,0%,30.38,Subject tutoring,/programs/computer-science,Low (long-term),Monitor; low priority,P4
dr singh tutor,0,8,0%,31.25,Branded,/ (homepage) + /about,Low (long-term),Monitor; low priority,P4
trigonometry tutor,0,8,0%,33.75,Subject tutoring,/programs/mathematics,Low (long-term),Monitor; low priority,P4
javascript tutor burnaby,0,7,0%,2.86,Subject tutoring,/coding-tutor-burnaby,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
actuarial science tutor canada,0,7,0%,6.43,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
computer science tutor near me,0,7,0%,10.43,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
best math help,0,7,0%,11.43,Subject tutoring,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
actuarial science tutor uk,0,7,0%,13.29,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
biology tutor,0,7,0%,17.71,Subject tutoring,/programs/biology,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
calculus tutor vancouver,0,7,0%,23.86,Subject tutoring,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Low (long-term),Monitor; low priority,P4
online calculus tutors vancouver,0,7,0%,25.43,Subject tutoring,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Low (long-term),Monitor; low priority,P4
calculus tutors vancouver,0,7,0%,28.86,Subject tutoring,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Low (long-term),Monitor; low priority,P4
actuary tutor near me,0,7,0%,41.71,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Low (long-term),Monitor; low priority,P4
econometrics tutor online,0,7,0%,46,University / professional,/online-economics-tutor,Low (long-term),Monitor; low priority,P4
ap calculus tutors near me,1,6,16.67%,13.33,Grade / course-specific,/programs/mathematics,Converting (defend),Keep; protect ranking,P1
dr.shreyank educare,0,6,0%,1,Branded,/ (homepage) + /about,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
coding tutoring burnaby,0,6,0%,3.33,Subject tutoring,/coding-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
investment management tutor vancouver,0,6,0%,6.5,University / professional,/programs/university-finance,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
university finance tutoring vancouver,0,6,0%,6.83,University / professional,/programs/university-finance,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
cell biology tutor,0,6,0%,8.17,Subject tutoring,/programs/biology,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
ib chemistry tutor vancouver,0,6,0%,8.67,Grade / course-specific,/programs/chemistry (+ city intent → vancouver),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
health sciences tutor canada,0,6,0%,9.67,Subject tutoring,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
online actuarial exam tutor,0,6,0%,11.5,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
cs tutoring,0,6,0%,12.83,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ib math tutors near me,0,6,0%,14,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
computer tutoring rates,0,6,0%,16.17,Informational (pricing/jobs),/pricing,Page-2 (build authority),Ensure /pricing answers this,P3
machine learning tutor,0,6,0%,16.33,Subject tutoring,/programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
chemistry 12 tutor vancouver,0,6,0%,16.67,Grade / course-specific,/chemistry-12-tutor-vancouver,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
french classes surrey,0,6,0%,17.17,Other,/programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
comp sci tutors,0,6,0%,18.5,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
tutoring,0,6,0%,18.5,Broad tutoring,/ (homepage) or /programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
data science tutor near me,0,6,0%,19.5,Subject tutoring,/programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
calculus 1 tutor vancouver,0,6,0%,21.5,Grade / course-specific,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Low (long-term),Monitor; low priority,P4
precalculus tutor near me,0,6,0%,23.83,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
computer science tutors,0,6,0%,25,Subject tutoring,/programs/computer-science,Low (long-term),Monitor; low priority,P4
college biology tutor,0,6,0%,27.33,University / professional,/programs/university-biology,Low (long-term),Monitor; low priority,P4
university chemistry tutoring,0,6,0%,30,University / professional,/programs/university-chemistry,Low (long-term),Monitor; low priority,P4
best tutoring centers for adhd,0,5,0%,1,Irrelevant / low-value,— (not a service we offer),Top-3 no clicks (snippet/relevance),Ignore / mark not-relevant,P4
tutor,0,5,0%,5.2,Broad tutoring,/ (homepage) or /programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
best math tutoring in burnaby,0,5,0%,6.8,Subject tutoring,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby",Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
finance exam preparation tutor vancouver,0,5,0%,6.8,Grade / course-specific,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
math tutors burnaby,0,5,0%,8.4,Subject tutoring,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby",Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
cfa tutor vancouver,0,5,0%,10.4,University / professional,/programs/university-finance,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
